title,genre,duration_min,release_year,rating
Example these hospital,Thriller,156.42,2003,3.3
When stock,Comedy,56.77,2008,4.3
Wear forward father,Horror,27.34,2010,3.8
Mean herself series,Horror,22.85,2017,4.0
Action behavior view,Romance,144.78,1992,4.8
Enough challenge,Action,28.47,2019,4.3
Nothing would,Sci-Fi,75.31,1988,2.2
Near artist,Drama,130.81,2021,3.8
Morning reason,Drama,92.58,2010,2.2
Memory for growth,Action,28.91,2008,2.8
Pretty,Sci-Fi,95.38,1996,3.2
Sport two edge,Action,60.9,2014,4.2
Wish win,Horror,120.37,2005,3.9
Painting tell total phone,Sci-Fi,85.99,2022,2.5
Baby head her,Thriller,89.35,2011,2.8
At could audience,Comedy,99.89,1997,2.9
About,Sci-Fi,69.06,2012,3.4
Author song,Comedy,67.71,2008,2.0
Local different would,Horror,130.04,1986,2.3
Read career,Romance,68.47,2023,2.5
Protect sing treatment,Drama,131.66,2002,3.5
Media forward meet,Comedy,62.62,2024,4.5
Game moment hand,Sci-Fi,170.53,1992,2.6
Myself protect local,Comedy,46.05,1997,4.8
Gas mouth,Comedy,30.15,2007,4.8
Accept network,Documentary,32.77,1982,2.9
Like bill such,Drama,82.22,2019,2.4
Economy,Action,157.08,1984,4.5
Help agency indeed,Action,136.37,2004,2.7
Better glass they,Thriller,62.87,1981,2.8
Lose case,Horror,42.62,1990,3.5
Play see,Drama,40.08,1990,4.2
History contain board,Drama,148.36,2001,3.1
Floor page,Drama,26.02,2009,3.6
Member eight,Sci-Fi,107.5,2021,3.9
Fill each growth,Sci-Fi,106.22,2025,4.6
Economic sometimes majority wrong,Drama,130.39,2017,4.2
Yeah key list person,Thriller,51.52,2012,3.3
Enough put,Romance,80.64,1989,2.3
System he,Sci-Fi,121.61,2022,4.1
Change direction candidate,Documentary,52.25,1985,3.9
Statement building remember,Drama,37.09,1996,2.6
Speech rather laugh,Drama,120.81,1983,4.2
Should total,Drama,45.73,2010,2.4
Process drug dream,Action,90.05,1984,2.5
When participant themselves,Horror,52.59,1987,3.5
Level third fill,Thriller,147.84,2006,3.2
Actually decision,Romance,132.96,2011,3.4
Just new,Sci-Fi,102.48,2018,3.6
Process whose decide,Thriller,123.96,2009,3.1
Positive now practice,Romance,121.4,2015,4.4
Have seek,Horror,157.6,1986,3.6
Coach trade tough,Romance,67.73,2024,3.0
Off,Sci-Fi,65.68,2003,4.7
Record be,Action,175.5,1989,2.2
Catch,Thriller,120.38,1985,3.1
Camera kitchen,Romance,28.54,1996,2.7
Skin adult,Drama,78.82,1993,4.0
House campaign,Action,102.55,2007,4.1
Close write mind,Action,100.45,2020,4.1
Return affect,Sci-Fi,139.81,2012,2.2
On thus,Horror,142.16,2017,2.4
Nearly present society,Romance,101.03,2021,2.9
About several show,Thriller,88.71,1991,3.7
Remain state establish,Drama,106.58,2021,3.2
Our various gas very,Thriller,71.67,2011,2.2
Today when your,Drama,150.47,2023,2.0
Address under southern,Documentary,155.01,2015,4.8
Development focus your answer,Thriller,142.77,1981,4.6
Various billion part,Drama,156.03,1994,3.3
Clear fear,Documentary,66.14,1981,3.0
Sing mother,Sci-Fi,172.41,2021,3.2
Watch trial nothing,Horror,49.52,1999,4.3
Others model beat,Drama,75.26,2017,2.4
All least remain,Comedy,46.95,2012,2.9
Half able keep,Drama,20.52,2023,3.7
Husband quite ago,Horror,55.92,2012,4.6
World middle owner goal,Documentary,81.81,2000,4.7
In visit,Thriller,129.69,2025,3.5
Music method,Documentary,120.02,2017,2.4
Gun much watch beautiful,Horror,151.55,2022,3.9
Listen here,Thriller,150.77,2024,4.4
Result structure minute,Thriller,153.66,2008,3.3
Bed little,Comedy,100.22,2023,4.5
Create best cause,Thriller,53.23,1987,4.4
Address open,Documentary,24.36,2023,4.7
Someone military pull,Thriller,33.31,1981,4.0
Expect like network,Documentary,154.0,2007,3.6
Mouth heart adult unit,Documentary,174.38,2004,4.2
Field none garden,Romance,143.1,2007,3.2
Available stage me,Romance,33.76,2021,4.2
Name billion,Drama,151.32,2023,3.0
Grow down,Thriller,178.78,2020,4.2
Past loss,Romance,89.97,2010,3.0
Job Mrs,Action,92.92,2006,2.9
Father minute,Drama,66.95,2015,2.0
Season high about,Documentary,25.66,2024,4.4
We necessary,Sci-Fi,115.72,2012,2.0
Good crime season,Romance,31.87,1995,3.1
Employee arm international,Documentary,140.83,1991,3.5
Hit dinner level,Sci-Fi,141.42,2016,3.8
Foot matter,Drama,104.19,2024,2.0
Popular investment account,Sci-Fi,131.51,1985,2.8
Brother soldier skill effort,Drama,87.45,2021,3.5
Type form least,Documentary,44.04,1993,4.5
Parent edge help,Sci-Fi,33.31,1993,4.8
Lose could,Thriller,38.65,2018,2.8
Cultural inside,Thriller,35.61,1994,4.6
Turn main air,Horror,24.85,1980,3.2
Matter degree write,Drama,50.71,1981,3.1
Government I,Action,104.32,1984,3.9
Political much approach,Comedy,56.49,2019,2.4
Food commercial,Sci-Fi,84.05,1988,4.7
Easy,Comedy,73.65,2007,3.5
Force,Horror,130.94,2006,3.5
Trial international against,Comedy,152.25,1998,3.8
Class to,Documentary,73.53,1989,4.6
Staff assume,Action,150.54,2015,4.4
Some hand,Sci-Fi,99.92,1994,4.0
Opportunity quite recognize responsibility,Action,178.13,1997,2.2
Note truth,Thriller,48.08,2017,4.5
Easy air,Documentary,38.03,1987,3.8
Attorney begin pick,Sci-Fi,98.16,2019,3.0
Compare actually leg,Sci-Fi,177.1,2021,4.3
Million study yes,Action,91.54,2015,2.9
Do,Horror,147.17,1982,4.5
Option,Thriller,122.08,2000,3.7
Same child,Thriller,101.64,2011,3.2
Figure sing resource,Documentary,130.1,2011,3.5
For appear to,Documentary,177.39,1997,2.8
Since example hope,Thriller,174.17,2010,3.4
Lead detail,Drama,77.91,2019,4.7
Church bar anyone,Action,95.18,2005,4.4
Rule shoulder,Drama,62.87,2005,3.3
Writer response worry movie,Action,151.84,2016,3.8
Take option,Comedy,55.18,2010,3.8
Strong thus wish,Drama,110.36,2025,2.4
Happy left,Horror,179.56,2009,3.1
Right purpose,Thriller,40.94,2014,4.2
Feeling campaign,Romance,22.96,2006,3.9
Miss alone scientist,Thriller,152.68,1986,4.7
Within eight,Action,71.15,1982,4.0
Woman local color present,Thriller,129.05,2010,3.5
Only second,Sci-Fi,90.16,1994,3.2
Else past,Comedy,102.39,2011,2.8
System,Thriller,76.94,2003,2.3
Interesting,Drama,60.2,2020,3.1
Wish claim bit,Horror,91.06,2009,3.6
Purpose perhaps,Drama,128.34,1985,3.4
Involve one,Romance,149.91,2008,4.5
Family,Thriller,103.3,1984,2.2
Manager board,Comedy,47.77,1990,4.7
Thousand generation institution,Sci-Fi,118.17,2000,4.8
Ahead question one,Romance,141.02,2009,3.4
Truth research agency,Documentary,151.65,2019,3.2
Present sense,Documentary,156.75,2006,3.9
Fall wall their,Comedy,30.51,1993,3.0
Can arrive,Drama,80.82,2004,2.7
Per source word,Horror,31.56,1985,2.4
Big,Thriller,78.43,1994,3.2
Page play million,Documentary,118.68,2009,4.5
Safe performance huge,Sci-Fi,61.39,2007,3.7
Than bank their,Action,70.21,2023,2.2
Fact single,Documentary,138.25,2001,4.3
Member,Sci-Fi,64.28,1989,3.0
Situation identify,Horror,88.77,1987,2.3
Agency nature gun,Drama,60.7,2004,3.5
Color rule,Comedy,129.11,1987,2.0
Affect,Comedy,91.28,2023,2.4
About care anyone,Thriller,72.22,1980,2.4
Community region set to,Horror,59.71,2000,2.3
Economy news,Documentary,45.42,1998,3.8
Ground continue,Drama,68.91,1981,2.2
Threat machine throw,Action,72.7,1997,3.6
Raise upon,Documentary,82.85,1992,3.2
Whatever modern,Action,61.76,1996,4.8
Pull college,Drama,101.37,1981,2.2
Hotel everyone you responsibility,Romance,72.69,1994,3.4
Million people security,Romance,23.33,1993,4.2
Within teacher help,Comedy,153.44,2017,4.6
Public,Thriller,107.22,2003,3.3
Firm investment,Drama,130.36,1993,4.7
Open everything land,Horror,131.29,2013,4.2
Forget some,Sci-Fi,136.18,2009,3.0
Ten relationship near,Comedy,79.45,2025,4.4
Push kid herself,Romance,148.65,2007,2.5
Attention whose record,Horror,57.67,2011,2.5
Dog almost,Drama,27.82,1998,3.0
Baby various morning,Romance,133.36,1989,4.4
Try,Drama,87.11,2011,3.6
Mean,Comedy,146.17,1982,2.5
East wide computer,Romance,175.97,2018,4.4
There activity stand,Drama,101.12,1981,2.3
Fine,Action,70.03,1994,3.3
Development a several,Sci-Fi,38.66,1986,2.7
Thing security meet side,Action,105.89,2025,3.8
Follow space whose,Romance,173.14,1988,4.0
See place,Comedy,122.11,1998,2.7
Wide wall whose,Sci-Fi,153.55,1987,3.0
Card group state,Sci-Fi,75.63,1995,2.4
Smile pick resource,Comedy,104.17,2016,2.6
Mind husband,Action,68.42,2020,4.7
Bring expect kid conference,Thriller,103.56,1990,4.6
Light threat,Thriller,56.91,2016,2.2
Theory car other,Comedy,96.77,2001,2.3
Investment education investment,Thriller,148.91,1981,3.0
Hair ahead,Action,43.35,1985,2.0
Plan reach,Sci-Fi,49.43,2020,2.1
Town,Action,141.9,1997,3.9
Could community east,Horror,119.69,2003,4.7
Future save PM,Thriller,118.73,2013,3.0
Floor activity,Sci-Fi,46.23,1999,2.7
Upon,Documentary,78.44,1993,3.4
Again,Romance,31.2,2022,3.0
Space job,Romance,27.01,2024,3.9
Without popular,Sci-Fi,53.91,1999,3.1
Public why,Sci-Fi,35.67,2004,3.6
Since which fire,Thriller,147.53,1995,3.8
Charge cold,Sci-Fi,73.93,1997,2.2
Produce dream least,Drama,114.58,2000,2.3
Key difference,Sci-Fi,96.65,1980,4.7
Sea recent,Thriller,20.85,1994,2.1
Suffer minute,Thriller,140.88,2014,3.6
Walk prove,Comedy,91.98,1991,4.7
If bad guy,Horror,28.98,2011,2.0
Left thus,Thriller,69.48,2006,4.5
Affect though five,Horror,129.69,1983,2.4
Learn after,Action,139.28,1982,4.1
Tough environmental,Horror,49.96,2001,3.4
Ground window hour,Action,149.03,1997,3.2
Attention rather,Comedy,110.67,1991,3.6
Indicate blue,Drama,120.5,2024,3.3
Although begin choice,Horror,138.67,2009,3.9
Minute,Drama,24.22,2008,4.3
Camera available month,Thriller,29.86,1998,3.7
Coach be involve,Drama,33.54,1993,4.1
Be her,Comedy,79.17,2006,4.1
Environmental produce,Documentary,64.2,1980,3.8
View something,Drama,116.5,2022,2.1
Make small not,Thriller,101.67,1980,3.6
Important talk word,Documentary,109.95,1993,2.3
Forget turn,Action,77.78,2006,3.3
Benefit catch long,Documentary,47.71,2017,4.6
Center smile,Sci-Fi,37.71,2024,3.5
Baby turn,Horror,138.73,2025,4.6
Cold occur,Thriller,34.05,1988,3.4
Adult trouble,Action,59.9,1991,4.2
Enter purpose mention,Documentary,131.46,1990,2.6
Choose wrong,Action,43.74,2021,2.8
Now reach lead,Action,44.87,2014,4.5
Push everyone director,Sci-Fi,73.26,1988,4.0
Piece blue,Romance,38.03,1996,2.8
Statement begin think must,Documentary,28.32,2021,2.5
Upon job,Horror,159.61,1992,3.8
Explain watch,Drama,84.25,1980,2.0
Remember author back,Drama,94.51,1986,2.1
Know have,Drama,99.37,2015,2.7
While number growth debate,Thriller,64.64,2014,2.1
List sound performance,Sci-Fi,44.21,1981,4.5
Upon include sometimes,Documentary,95.78,2018,3.2
Throughout feel,Drama,132.81,1999,3.6
Moment face heavy,Comedy,80.88,1998,3.2
Might avoid order,Sci-Fi,28.99,2000,2.4
Window,Comedy,60.43,1987,4.4
Represent describe,Documentary,87.67,1991,3.8
Avoid,Romance,118.32,2015,4.5
Seem safe,Comedy,147.92,2006,3.0
School with,Thriller,124.43,1997,3.9
See answer democratic,Romance,138.71,1987,2.5
Style teacher into,Horror,131.17,2020,2.2
Think care,Action,168.77,1980,4.7
Mean federal new thought,Drama,122.55,1990,3.2
You share,Documentary,97.32,1997,3.5
During crime,Romance,71.53,1992,3.5
Support happy,Comedy,34.04,2024,3.0
Wall authority,Sci-Fi,163.13,2012,2.2
East ago ever,Action,170.88,2021,4.5
Pattern author successful,Action,76.73,1981,4.2
Law serious,Documentary,29.76,2019,3.4
Home century,Horror,75.08,1997,3.0
Indeed large that,Documentary,109.15,1981,3.7
Answer town people,Drama,140.17,1991,3.6
Smile form site,Documentary,72.89,1984,3.6
Hotel role,Horror,134.93,2003,2.7
Plant difference,Drama,50.68,2006,3.2
Must already bad,Comedy,69.32,2016,3.8
Seat yourself,Horror,155.0,2011,4.0
Rise need,Sci-Fi,150.08,2000,2.4
My of debate,Documentary,97.72,1985,4.2
Every lose home history,Thriller,153.25,1995,2.4
You least,Sci-Fi,110.56,2012,3.2
Level major,Drama,66.93,2009,2.3
Entire reason,Comedy,122.74,2004,4.3
Interesting around,Sci-Fi,171.66,1981,2.5
Suddenly including,Documentary,20.02,1981,3.5
Who give too,Documentary,169.5,1991,2.3
Million sister behind,Action,43.73,1989,3.6
Young partner,Comedy,153.24,1987,3.4
Remain wall rule,Drama,131.34,2022,4.4
Maintain pressure,Horror,78.11,2018,4.6
Little catch employee,Documentary,20.82,2007,3.7
Address walk,Action,95.27,2018,2.0
Remember party around,Comedy,55.44,1980,3.1
Tax scientist pick,Horror,175.01,2001,2.5
Him work,Romance,114.32,2017,2.4
Throughout or center,Thriller,31.8,2022,3.6
Others for,Action,116.72,2010,3.9
Individual spring interesting,Horror,38.28,1991,3.4
Consider like suggest,Romance,177.44,1999,4.0
Book social,Comedy,109.62,2017,3.2
Age main left,Drama,132.54,2009,4.7
Make travel,Thriller,39.42,2013,2.2
Road few,Drama,61.53,1985,4.5
Summer just behavior,Comedy,41.06,1993,4.7
Animal site,Drama,150.08,2020,4.5
State join,Romance,53.61,2003,4.1
I myself,Sci-Fi,144.83,1996,4.1
Design real,Romance,37.24,1982,3.2
Fall describe,Action,116.21,2015,4.0
Somebody,Comedy,162.81,1995,2.0
Professional window,Action,90.38,1989,4.7
Help member yes,Horror,137.57,2010,4.0
Ok audience,Documentary,160.63,2002,3.9
This unit make,Action,100.75,1992,3.5
Tough within good,Action,78.24,1984,3.2
Success foot,Drama,20.04,2002,4.0
Mention challenge,Thriller,84.87,1999,2.5
Too free,Thriller,138.67,2001,2.4
Claim present place,Romance,124.1,2022,3.2
Section,Comedy,142.88,1999,3.3
Senior thing on,Drama,156.82,1992,2.5
Meet reality indicate national,Comedy,131.73,1991,3.0
Special base ever,Romance,111.6,1982,2.6
Claim bag citizen,Sci-Fi,44.21,1997,2.3
Hotel,Horror,25.78,2004,3.1
Indicate property,Action,45.28,2017,3.1
Ball lot read,Thriller,68.78,1994,2.8
Better level,Drama,54.03,2016,2.5
Little probably develop,Horror,43.02,1981,3.7
Garden little,Romance,179.5,1982,3.1
Research very later,Drama,57.33,2013,2.4
She lose,Horror,160.73,2002,3.3
Instead lawyer country,Comedy,70.8,2014,3.0
Work,Action,89.2,2023,3.6
American next tend,Comedy,107.49,2015,3.0
Toward answer two,Action,113.1,1995,3.7
Eat,Romance,38.9,2008,2.6
Car information order,Thriller,155.37,1981,4.1
Admit seat offer,Documentary,27.73,1997,3.8
Much particular series kind,Action,112.59,2006,2.7
Capital reason,Sci-Fi,97.82,2007,4.4
Nation both,Horror,133.25,1999,4.6
Firm beat,Sci-Fi,131.17,2023,3.5
Job thus,Drama,121.36,2011,3.3
Know stand building,Thriller,69.47,2024,2.5
Whatever who carry,Documentary,84.44,1992,3.7
Name know house,Action,172.44,2006,3.5
Wide wife,Action,27.25,2003,4.3
Explain,Sci-Fi,114.68,2005,2.8
Huge message,Romance,92.06,1999,3.5
Fine approach,Thriller,20.91,2006,3.4
Between between present,Romance,70.16,1980,3.4
Detail down already,Romance,162.36,2024,3.1
Concern morning,Action,143.61,2000,4.8
Move already scientist push,Sci-Fi,170.83,1981,2.5
Civil federal detail,Drama,136.46,1981,4.7
Image throw democratic seat,Drama,118.72,1980,4.4
Concern term,Drama,170.88,1983,4.3
Evidence sometimes,Comedy,150.32,1988,2.8
Watch else third,Drama,35.94,1984,2.3
Area pay,Comedy,71.1,1993,4.5
Institution student,Sci-Fi,166.68,2017,3.0
You be guy,Action,64.79,2007,3.5
Physical thought,Thriller,84.93,2024,3.4
Hair beat else,Documentary,108.67,1982,3.9
Information would finally,Documentary,156.3,2012,2.1
Teacher reality,Sci-Fi,160.58,2012,3.9
Stuff south,Comedy,56.42,1983,2.8
Understand who,Horror,55.89,2004,4.6
Benefit business,Drama,35.07,1984,3.8
Could house dark,Documentary,147.51,2005,2.6
Authority ask American hold,Comedy,69.55,2013,3.3
Type candidate especially,Horror,171.28,2006,4.8
Direction by,Romance,145.97,1993,2.9
Response mention,Comedy,20.52,1991,3.4
Fly increase,Documentary,122.82,2010,4.4
Age five writer want,Comedy,102.38,1993,2.9
Daughter dinner item,Drama,52.87,2016,2.8
Store trade,Thriller,135.87,2019,2.7
Plan number,Romance,40.84,2016,2.2
Who assume who,Documentary,113.3,1987,3.7
Ground magazine plant,Comedy,83.13,1989,4.5
Course phone brother,Romance,87.54,1990,4.7
Window build or,Thriller,143.64,1995,2.5
Receive,Drama,170.71,1997,2.1
Share west free,Thriller,25.08,2019,4.7
Week single three,Documentary,114.93,1993,4.5
Wonder shoulder away,Comedy,25.54,1984,4.1
Try clear quality,Comedy,99.89,1985,3.5
Listen tell,Action,39.41,1997,3.9
Night rule tree,Comedy,102.6,1985,4.5
Success light half,Drama,113.36,2011,2.9
Feel,Romance,42.95,2020,4.2
Baby full,Sci-Fi,74.52,1983,4.1
Them,Action,130.22,2002,3.5
Learn either,Drama,111.98,2014,2.7
Suffer represent,Documentary,107.93,2016,2.1
Note free seem,Sci-Fi,162.68,2024,3.2
Model save,Documentary,88.46,1996,3.5
Fight,Documentary,68.49,2010,4.3
Role well,Comedy,142.1,1994,3.8
Set memory show,Romance,33.98,2007,3.7
Democrat his building summer,Comedy,131.22,1986,4.8
Cost fly enough,Action,87.34,1993,4.2
Student wind fly,Sci-Fi,103.46,1984,2.9
Soldier difficult color,Thriller,81.93,1995,3.9
Activity discussion,Action,41.29,1998,2.6
Prevent recent,Drama,100.66,2012,4.3
Garden wide,Romance,103.63,2006,4.6
Federal,Thriller,64.21,1981,2.3
Still threat,Sci-Fi,61.4,2004,3.3
Challenge participant raise,Action,81.84,1985,2.7
Structure system,Romance,100.24,2025,2.4
Alone network,Horror,169.92,1994,4.2
Minute federal total real,Comedy,56.87,2024,2.5
Lay tell,Documentary,164.77,1984,4.7
Position maintain history,Action,91.17,1990,2.8
Common something itself between,Romance,20.17,2014,3.6
Majority energy,Comedy,75.8,1993,2.7
Without full,Horror,151.68,2010,3.3
Agreement among,Romance,87.89,2023,2.6
Guy decision pretty,Comedy,32.78,2024,3.4
Memory challenge doctor,Action,153.8,2023,4.5
Player technology often,Action,72.15,1992,3.2
Effort mother science,Thriller,38.59,2022,2.4
Enter brother drug,Drama,88.98,2004,2.7
Through along produce,Documentary,129.11,1989,4.7
Media behind remember,Romance,77.74,2011,2.4
Subject future just,Drama,99.4,2010,4.0
Try learn,Documentary,89.97,2013,4.7
Rest it,Horror,26.06,1988,3.8
Difference do,Thriller,30.15,2025,4.3
Fire catch,Drama,129.36,2017,4.3
Tonight ever,Action,174.78,1994,2.9
Certain,Documentary,115.76,2014,4.1
Other resource local,Documentary,169.24,2019,4.1
Ability face while,Documentary,146.47,1998,3.6
Me eight final,Horror,22.43,2001,4.5
Sometimes personal,Romance,143.94,1983,2.7
Real,Romance,33.19,1982,4.6
Language popular whom,Documentary,102.09,1991,3.6
Decide hotel maintain,Romance,22.0,1998,3.7
Very same move,Drama,88.35,2009,4.0
Security career team,Sci-Fi,114.77,1985,3.1
Again be,Comedy,179.65,2018,4.4
Determine nothing,Documentary,32.99,2023,4.3
Front who employee,Thriller,99.52,2020,4.8
Pretty turn edge,Documentary,41.86,2002,3.3
Claim activity,Drama,113.41,2019,3.7
Activity personal,Documentary,36.18,2021,4.6
Stock question off,Thriller,159.1,1992,4.5
Worker suffer plant especially,Thriller,43.45,2008,3.9
Month weight join,Documentary,178.13,2006,3.6
Attorney role,Horror,68.78,2003,4.4
Than five simply,Documentary,163.53,2018,2.9
Entire despite audience,Horror,91.33,2000,2.5
Lot window improve,Action,138.53,2006,2.0
Ground large agency,Horror,45.91,2002,2.9
Perform back if,Action,142.76,2013,3.8
Letter,Action,20.64,2009,2.6
Pm cup result report,Thriller,143.84,2011,4.4
In,Comedy,28.06,2025,3.7
Election spend,Drama,82.23,1996,3.4
Term,Horror,109.25,1988,3.1
Again drop,Drama,22.2,2003,2.4
Produce each unit,Horror,85.93,2014,4.6
Include see position,Drama,91.07,1994,3.0
Less international,Documentary,141.8,1984,3.3
Century back,Action,97.5,2021,4.8
Also throughout source,Sci-Fi,134.85,2023,4.0
Star religious rule,Thriller,48.39,1980,2.1
Show deal,Horror,126.82,1996,4.1
Window offer,Comedy,87.8,2004,2.7
Society agreement,Thriller,62.9,2010,4.7
Staff success,Documentary,123.48,2011,2.6
Stuff light notice want,Action,70.12,1995,4.2
Their herself,Action,63.14,1983,2.5
Serious avoid town nice,Sci-Fi,102.46,2010,4.1
Film system,Horror,110.96,1983,3.9
Television someone thus,Horror,137.36,2025,4.7
Money,Action,122.71,2010,4.0
Degree both,Romance,163.49,1986,2.5
Remain sometimes model,Horror,64.22,2004,3.4
Argue guess me,Thriller,111.93,2001,2.6
Level leave wide necessary,Horror,82.86,2025,3.3
Wish wrong,Documentary,100.31,2014,3.2
Language herself,Thriller,60.59,2011,4.6
Important goal,Drama,50.66,1988,2.8
The hand popular,Thriller,103.79,1985,4.1
Available,Comedy,122.1,1983,4.3
Defense those,Action,62.6,1986,4.5
West talk,Comedy,86.69,2002,3.9
Set word,Drama,172.59,2012,3.4
Speak task,Documentary,54.84,1982,2.4
Give,Action,28.4,1986,2.5
Second shake yourself,Thriller,160.52,2010,4.0
Certainly simply consumer,Romance,161.17,2016,4.0
Discussion seem a,Horror,119.83,2000,4.6
Measure performance,Drama,80.45,2020,3.8
Sort technology cut only,Comedy,63.25,1985,3.5
Pressure because,Sci-Fi,125.66,1994,3.7
Condition study,Romance,118.52,2010,3.4
Beyond information sport,Drama,35.89,1983,3.4
Professor,Comedy,178.61,2024,4.4
Against tree,Romance,91.61,1990,2.7
Individual dream,Romance,130.79,1994,3.3
Thing,Action,71.79,1983,3.7
Station hold watch view,Horror,122.31,2025,4.3
Company affect others,Romance,104.58,1995,3.1
Tv fire,Thriller,142.05,2013,4.5
Body reason I certainly,Romance,94.65,2008,4.4
Leader west soon,Romance,119.04,2021,2.5
Benefit,Action,47.92,1980,2.0
Thousand consider,Sci-Fi,59.42,1990,2.6
Yet event,Drama,125.92,1986,4.3
Whose site bar,Drama,92.14,1982,4.5
Song hit,Drama,62.59,2020,2.8
Break,Documentary,156.12,1992,2.4
Audience rise base,Action,150.64,2012,3.4
Issue fall,Horror,127.67,1982,3.3
Stuff brother,Documentary,127.2,1989,2.9
Bank role each peace,Comedy,65.47,2008,2.5
Hard population deal,Action,25.07,1996,2.7
Court experience for,Comedy,133.6,2000,3.5
Network low consumer,Drama,171.14,2017,3.2
Management social want,Thriller,113.41,2009,3.6
Hair process impact,Sci-Fi,142.06,2021,2.7
North similar,Documentary,51.01,1986,3.9
Community there,Romance,24.51,1999,4.4
Very fill,Drama,121.13,1985,3.5
Ready,Sci-Fi,101.63,2009,2.9
Perform standard business,Sci-Fi,85.32,1984,4.0
Expect weight question,Thriller,83.97,2006,3.0
Direction case,Romance,62.9,2004,2.2
